respid,cty,AsylumHome,IdeoScale,Female,Age,Employed,EISCED,IncomeDecile
R_1P7XIiItASp1rPc,Spain,1,3,0,47,0,5,8
R_50ZKMW8yNrvwD89,Spain,-1,7,0,42,1,5,10
R_3s4juKElL6QpirT,Spain,0,4,1,49,0,3,3
R_1g5e05VvfcIwMwG,Spain,-1,5,1,50,1,3,6
R_2wLD2sg0B2uqJkP,Spain,-1,6,1,37,1,6,5
R_3KDYaiaEqthmhAE,Spain,-2,3,1,46,1,7,8
R_1oiigGzXnzVQgBR,Spain,1,6,1,53,1,7,2
R_2P53Up2jXzR9phj,Spain,0,2,1,36,1,5,3
R_3KN6ICfs55OBYi4,Spain,0,5,0,39,1,7,9
R_3EsaiiF57WP0vKw,Spain,-2,4,1,45,1,6,9
R_2X4Lf67XaXmyACY,Spain,-1,5,1,46,1,7,3
R_2xF2kzyh7lmVcTC,Spain,1,4,1,63,0,3,2
R_3HLnJOz6sg5QZ7u,Spain,0,7,1,53,0,2,1
R_YQbM67UQ6aOHReh,Spain,0,4,1,49,1,2,7
R_1lbfZplK3tTgNPt,Spain,-1,6,1,50,1,7,3
R_1d9Uz4VdbHvvoh6,Spain,1,0,1,39,0,1,1
R_3nvl4ZcAQ8ou1sg,Spain,0,0,1,45,0,4,2
R_TpigFP7qW2NbyEx,Spain,-2,6,1,42,1,7,6
R_129BnLcr6a8pvfo,Spain,0,4,0,45,1,3,4
R_2VQgOjlssYgjpSt,Spain,1,5,1,43,1,6,10
R_3dQE1YFlhz86uMV,Spain,-1,6,1,31,1,5,4
R_1eCZyRqaCBcAT5c,Spain,1,1,0,37,1,7,9
R_3oF3Ohg3FelJPE0,Spain,-1,1,1,46,1,6,10
R_pMEIwFd9w4vBcyt,Spain,-2,8,1,28,1,5,1
R_b7pTdfVibDUjgWZ,Spain,-1,5,1,42,1,7,7
R_3KPxvMrcJlnHvY3,Spain,1,3,0,50,1,7,4
R_wZEkmCce4edKlTb,Spain,1,7,1,35,1,6,2
R_PtkKPuDOEfh9IvT,Spain,-1,6,1,28,0,3,2
R_3CZ1ulgg3nLaKHk,Spain,0,5,1,51,0,7,6
R_1ri7bYkaP8dSwIq,Spain,-2,5,1,35,0,3,9
R_2BxMjhaMUNuSi2Z,Spain,0,5,0,47,1,6,6
R_1nTkdUWh4ge1vsP,Spain,1,3,0,45,1,7,6
R_qxWIapdhOJD66rf,Spain,-1,10,0,52,0,3,2
R_1eIv4j090sh7xfA,Spain,0,4,1,52,1,5,8
R_sd5aTOtnLRavK1j,Spain,0,7,0,50,1,7,6
R_2uUv6XZ9vEQbH63,Spain,2,2,0,36,1,2,8
R_123iEsvRumHGzhi,Spain,2,1,0,50,1,7,9
R_1gFxmQL4Mudx6Eo,Spain,0,5,1,48,0,5,2
R_2hSmBARvY0FRzP3,Spain,-1,8,0,38,0,5,2
R_2xYnuIZ6v3KxZnG,Spain,0,4,0,39,1,7,10
R_Zz4BOzXYokr6LHH,Spain,-2,0,1,25,0,5,2
R_3EXxRL1TYytkewc,Spain,0,1,0,48,1,1,3
